first_name,last_name,year_of_birth,year_of_enrollment,idnp,faculty
Tatiana,Lipyeat,2001,2019,2628140348178,Faculty of Physics and Engineering
Karney,Darnbrough,2002,2013,2328864266471,Faculty of History and Philosophy
Arnold,McFie,1997,2007,2738899150189,Faculty of Journalism and Communication Sciences
Trudi,Twining,1995,2005,9084399551306,Faculty of Economic Sciences
Kristopher,Riordan,2000,2002,977329576679,Faculty of Biology and Geoscience
Lindie,Grestye,1999,2008,5330967041559,Faculty of Mathematics and Informatics
Keefer I,Tinmouth,2001,2004,5548790304948,Faculty of Law
Tatum,Challenor,1996,2011,2674469218720,Faculty of Economic Sciences
Ozzy,Boddis I,2001,2010,5559194310759,Faculty of International Relations
Leonid,Candie,2001,2007,6489003652097,Faculty of Law
Baudoin,Rollingson,1996,2013,1109239269899,Faculty of Law
Townsend I,Worpole,1995,2002,2998706726289,Faculty of Psychology
Anissa,Labusquiere,1998,2018,5255347085894,Faculty of Psychology
Yetta,Hambleton,1998,2013,869251181549,Faculty of Psychology
Malvin,Echalier I,1996,2007,6337965697917,Faculty of Psychology
Flo,Howsden,1997,2015,3902476262520,Faculty of Chemistry and Chemical Technology
Kirbee,Cescot,1996,2007,6576725659977,Faculty of Philology
Leonanie,Derby,2000,2001,3121189033697,Faculty of Philology
Gwendolyn,Groves,1998,2021,5965211546205,Faculty of Psychology
Tova,Chamberlin,1998,2013,5432743958147,Faculty of Biology and Geoscience
Faulkner I,Managh,1995,2016,7719434820767,Faculty of Chemistry and Chemical Technology
Elwood,Marzele,2000,2016,3534923452107,Faculty of Biology and Geoscience
Annalee,Sneaker,1995,2001,6817264113303,Faculty of Journalism and Communication Sciences
Margaretha,Ariss,1999,2018,9102565604641,Faculty of International Relations
Veradis,Meriet,2001,2016,8634726959015,Faculty of Physics and Engineering
Katherina,Hearse,1997,2017,2624923655546,Faculty of Chemistry and Chemical Technology
Kesley,Feeham,2000,2007,9565194211375,Faculty of Mathematics and Informatics
Stacy,Coventry,1995,2006,8891811291971,Faculty of Journalism and Communication Sciences
Freddy,Guidone,2002,2003,8942750370627,Faculty of Physics and Engineering
Rodger,Kytter I,2000,2006,1939715581262,Faculty of Economic Sciences
Artemas I,Wales,1996,2016,2140211408614,Faculty of Mathematics and Informatics
Katerine,Thebe,1995,2012,8214046501748,Faculty of International Relations
Ev,Hardi,2001,2002,5958929545001,Faculty of Mathematics and Informatics
Bernete,Tapp,1997,2003,8647857446066,Faculty of History and Philosophy
Daron,Franz,1995,2001,4085301584338,Faculty of Economic Sciences
Maura,Breming,1995,2007,8087109398908,Faculty of Biology and Geoscience
Libbey,Arnout,2000,2009,4277962007054,Faculty of Mathematics and Informatics
Cherie,Bichener,1996,2000,7468436397874,Faculty of International Relations
Marcellus,Frears,2002,2020,3288516294415,Faculty of Mathematics and Informatics
Trace,Bonnette,1996,2004,3488607397195,Faculty of Mathematics and Informatics
Nathanil,McIlroy,2002,2022,7905646418122,Faculty of Mathematics and Informatics
Kikelia I,Bate,1999,2015,3733155201068,Faculty of Physics and Engineering
Ainslie,Grishinov,1996,2002,2953899748210,Faculty of Mathematics and Informatics
Florentia,Vondrach,1995,2004,662432492950,Faculty of Journalism and Communication Sciences
Carlin,Vagges,1996,2016,196450841230,Faculty of Chemistry and Chemical Technology
Hayes,Dobie,1997,2016,4896771910257,Faculty of Journalism and Communication Sciences
Marla,Stetlye,2002,2004,8912246968217,Faculty of Economic Sciences
Skyler,Faull,2000,2021,2677374570602,Faculty of Mathematics and Informatics
Gavin,Deetlof,1996,2003,7149631218228,Faculty of International Relations
Duff,Sterte,1995,2008,6011352253886,Faculty of Mathematics and Informatics
Hartley,Geaney,2001,2014,7675196399603,Faculty of Journalism and Communication Sciences
Cordey,Siggers,1997,2010,4107809844629,Faculty of Psychology
Inglis,Gainfort,1996,2011,2836132049891,Faculty of History and Philosophy
Kalindi,Hathaway,1999,2007,3281206759143,Faculty of Philology
Royall,Wither,2002,2009,8825634181212,Faculty of Economic Sciences
Tremayne,Lehane,1995,2014,5981256176528,Faculty of Philology
Shoshanna,Penwright,1996,2005,8905990025817,Faculty of Philology
Sullivan,Verchambre,1996,2012,2095920926241,Faculty of Journalism and Communication Sciences
Ryan,Iacapucci,1997,2003,7043418739323,Faculty of Physics and Engineering
Berthe I,Senechell,1995,2019,3832072818596,Faculty of Mathematics and Informatics
Gisella,Archbould,2000,2018,1268487403541,Faculty of International Relations
Louie I,Wallen,1997,2021,3294574768595,Faculty of Mathematics and Informatics
Neal,Olivas,2001,2001,6258806684347,Faculty of Law
Roldan,Daenen,1998,2020,508894968111,Faculty of Law
Lemmy,Tuma,1998,2018,4813296077652,Faculty of Physics and Engineering
Pancho,Draaisma,2001,2021,6755740119423,Faculty of Psychology
Sherilyn,Cymper,1996,2000,4107015471186,Faculty of Physics and Engineering
Darice,Rosson,2000,2017,7125235786256,Faculty of Chemistry and Chemical Technology
Coralie,Josefsson,1996,2014,6096114454278,Faculty of Economic Sciences
Evered,Tucknott,1997,2007,4371986733323,Faculty of Philology
Phillipp,Silkston,2000,2020,7272857079870,Faculty of Economic Sciences
Robert,Kanter,1999,2005,9632282029307,Faculty of History and Philosophy
Clementina,Luckett,1995,2003,1215124305422,Faculty of Philology
Helen,Cassy,1995,2009,7211402031877,Faculty of Mathematics and Informatics
Andriana,Tavner,1998,2000,3655265067593,Faculty of Economic Sciences
Matelda,Gorhardt,2000,2004,7684124125784,Faculty of Physics and Engineering
Leupold,Bambrick,2001,2013,3468602648469,Faculty of Physics and Engineering
Idalina,Delouch,2000,2020,3099754891243,Faculty of Mathematics and Informatics
Loren,Gohier,1996,2019,2529289507168,Faculty of Biology and Geoscience
Romy,Reilly,1999,2001,2993177786278,Faculty of Chemistry and Chemical Technology
Amitie,Mott,2000,2017,9310519281531,Faculty of Economic Sciences
Igor,Schmuhl,1998,2006,785916151367,Faculty of Economic Sciences
Marshal,Itchingham,2001,2007,4409068876407,Faculty of Law
Adair,Shipperbottom,1997,2017,5350193933180,Faculty of Psychology
Nikaniki,Edbrooke,1998,2001,3772593746173,Faculty of International Relations
ABenton,Dendisie,1996,2002,7848096632939,Faculty of Journalism and Communication Sciences
Katharina,Vowell,1999,2005,8413190584952,Faculty of Economic Sciences
Myrlene,Godier,2001,2019,3087219068418,Faculty of Psychology
Stan,Mallya,2002,2021,8656905090570,Faculty of Biology and Geoscience
Pauletta,Wankel,2002,2021,819968080185,Faculty of Economic Sciences
Thaxter,Traice,1999,2009,4042574568736,Faculty of Law
Jerri,Walduck,2000,2018,2225440270623,Faculty of Biology and Geoscience
Cal,Obeney,1997,2016,4069686265391,Faculty of Economic Sciences
Horatio,Spurdon,2002,2008,527492190742,Faculty of Mathematics and Informatics
Reynolds,Licas,2000,2015,3340071246169,Faculty of Economic Sciences
Dorena,Clemenson,2000,2007,2846748623101,Faculty of Law
Nari,Hagt,1996,2013,4365596221641,Faculty of Biology and Geoscience
Bronnie,Huckster,2001,2009,6886419644338,Faculty of Biology and Geoscience
Heinrik,Ickov,2001,2008,7167076423945,Faculty of International Relations
Madelene,Davidsson,2002,2003,453251896218,Faculty of Economic Sciences
Niccolo,Bleby,1997,2022,1646155268642,Faculty of Economic Sciences
Sheryl,Cuel,2001,2016,6933139039293,Faculty of Physics and Engineering
Gerri,Russon,2000,2016,4416877567602,Faculty of Biology and Geoscience
Cull I,Camacho,2000,2019,8260279481762,Faculty of Chemistry and Chemical Technology
Elva,Synke,2000,2012,3416906479689,Faculty of Chemistry and Chemical Technology
Tracey I,Bratchell,2001,2011,5430758121178,Faculty of Physics and Engineering
Maribeth,Humfrey,1996,2020,3699698982651,Faculty of Law
Egor,Beiderbeck,1995,2004,1676386328361,Faculty of Psychology
Lanny,Birbeck,2000,2007,9727874798138,Faculty of Philology
Mirna,Huygens,1996,2001,8594042296406,Faculty of Journalism and Communication Sciences
Boone,Pietrzyk,1999,2012,3103779120391,Faculty of Economic Sciences
Janos,Landrean,1997,2019,8882329661398,Faculty of Physics and Engineering
Charmian,Ofener,1998,2015,148360194760,Faculty of Biology and Geoscience
Kat,Giacobelli,1999,2019,9613488564736,Faculty of Biology and Geoscience
Franz,Wolfers,1995,2012,5471542651678,Faculty of Journalism and Communication Sciences
Chiquita,Hailwood,2000,2002,8080940091039,Faculty of Mathematics and Informatics
Row,Girkin,1996,2019,1310603378223,Faculty of Chemistry and Chemical Technology
Kristina,Rasp,1997,2018,6079593366844,Faculty of Physics and Engineering
Kally,Bruneau,2000,2011,5016101271201,Faculty of Psychology
Valentin,Pursglove,1997,2002,3190980101857,Faculty of Chemistry and Chemical Technology
Keene,Elgee,1998,2011,8675529885330,Faculty of Law
Florette,Abelov,1999,2013,7979997358538,Faculty of Psychology
Tris,Exeter,2001,2006,3624222994285,Faculty of Philology
Rowe,LeMarchant,2001,2001,5611291469474,Faculty of Mathematics and Informatics
Chancey,Ribbon,2001,2000,9870563262171,Faculty of Mathematics and Informatics
Bertha,Cleef,1997,2018,7108307915249,Faculty of Economic Sciences
Ermina,Chidwick,2002,2018,9912207448938,Faculty of Physics and Engineering
Wally,Bordone,2000,2016,4982681859774,Faculty of Economic Sciences
Hedvige,Reavey,1996,2009,497440975003,Faculty of Law
Dmitri,Foldes,2001,2020,4541320032657,Faculty of Law
Charles,Count,1997,2005,8913617255051,Faculty of Mathematics and Informatics
Juana,Khosa,2001,2016,2333551759048,Faculty of Journalism and Communication Sciences
Sherye,Biddulph,2002,2018,9623385145394,Faculty of International Relations
Paulie,Jantel,2002,2005,9034251700981,Faculty of Economic Sciences
Viva,Egarr,1997,2007,4773473167637,Faculty of Journalism and Communication Sciences
Erasmus,Jannasch,1995,2005,9688463948208,Faculty of History and Philosophy
Alis,Redd,1995,2022,5228020175554,Faculty of Philology
Hank,Shayes,1999,2000,6282164913006,Faculty of Chemistry and Chemical Technology
Iggie,Ankrett,2002,2012,1961340444930,Faculty of Chemistry and Chemical Technology
Sibyl,Selburn,1995,2011,813882057156,Faculty of Physics and Engineering
Netta,Gasparro,1998,2019,7719694105021,Faculty of Mathematics and Informatics
Cecile,Powis,2001,2014,2482995427142,Faculty of Biology and Geoscience
Lian,Charville,1998,2018,5066074859387,Faculty of Law
Portia,Leith,1995,2021,3981049488733,Faculty of Mathematics and Informatics
Gustaf,Joerning,1995,2008,3916085602340,Faculty of Philology
Christina,Birt,1998,2005,3899143900925,Faculty of Physics and Engineering
Jakob,Linacre,1996,2018,9612296996419,Faculty of Mathematics and Informatics
Jerrie,Chesson,2000,2014,8160360763868,Faculty of Psychology
Duffie,Esilmon,2001,2010,7460919543318,Faculty of Physics and Engineering
Benedict,Gyrgorcewicx,1997,2022,5362638133725,Faculty of Mathematics and Informatics
Vina,Stuchburie,2001,2008,2308479145843,Faculty of Psychology
Georgena,Balderstone,2001,2020,8433819808998,Faculty of Mathematics and Informatics
Zollie,Jurek,2001,2003,6925862723872,Faculty of Law
Kelli,Ludl,1997,2010,8352517227899,Faculty of Chemistry and Chemical Technology
Bradney,Lorand,1997,2020,594504752179,Faculty of Journalism and Communication Sciences
Ricard,Mawer,2000,2003,4929786303623,Faculty of Economic Sciences
Hewe,Wyllt,2000,2003,3594491819119,Faculty of Economic Sciences
Fulton,Unger,1998,2012,1847143926793,Faculty of Biology and Geoscience
Tiler,Jedraszczyk,2000,2014,7056592177001,Faculty of History and Philosophy
Colly I,McQuorkel,1998,2006,8987726865029,Faculty of International Relations
Shannah,Winteringham,2001,2000,4486146726023,Faculty of Psychology
Kelli I,Chilvers,1998,2021,956108074060,Faculty of Economic Sciences
Goober,Confort,1996,2014,5751024086650,Faculty of History and Philosophy
Kiley,Portingale,1995,2008,463682331618,Faculty of International Relations
Augustus,Schmuhl I,1995,2006,966219834014,Faculty of Chemistry and Chemical Technology
Jaquith,Sweatland,2000,2019,6799890063937,Faculty of Biology and Geoscience
Drugi I,Banham,1997,2002,6366624373506,Faculty of Psychology
Anson,Tatnell,2002,2017,4233280667058,Faculty of Journalism and Communication Sciences
Norby,Jacmard,2001,2005,2311425738202,Faculty of International Relations
Casey,Hirjak,1995,2006,5437063238855,Faculty of Biology and Geoscience
Nealon,Bernhart,1997,2018,5270498837918,Faculty of Law
Wally I,Douberday,1998,2004,8035653855102,Faculty of Mathematics and Informatics
Marika,Brik,1995,2007,1000511133428,Faculty of Biology and Geoscience
Giff,Sinnock,1999,2020,753805447644,Faculty of Physics and Engineering
Iona,Steele,2001,2013,3480372924400,Faculty of International Relations
Boyce,Gravie,1999,2017,2391170337126,Faculty of Mathematics and Informatics
Ella,Lidgertwood,2000,2001,9732596462938,Faculty of Philology
Wendel I,Daintier,1997,2001,4677895043893,Faculty of Physics and Engineering
Harli II,Rummery,1998,2021,7704053776728,Faculty of Philology
Louis,Thombleson,2001,2013,4451545560251,Faculty of Mathematics and Informatics
Dody,Ballintime,1998,2020,6290357688121,Faculty of Philology
Delbert,Dye,1997,2009,8966071270051,Faculty of Psychology
Hilton,Goddert,2000,2013,8390946250372,Faculty of Economic Sciences
Michaella,Quirk,1996,2019,2681768528124,Faculty of Chemistry and Chemical Technology
Valerie,McBryde,2000,2016,8351749223500,Faculty of History and Philosophy
Clyve I,Champain,1996,2017,492919258742,Faculty of History and Philosophy
Perl,Daouze,1997,2008,3302022993677,Faculty of Journalism and Communication Sciences
Kittie I,Cristoferi,2001,2011,2005565321751,Faculty of Philology
Joyann,Shortall,1998,2012,4966422305587,Faculty of Philology
Ariadne,Luetchford,1995,2018,8046731593726,Faculty of Physics and Engineering
Catherine,Maypother,2002,2021,8470974922870,Faculty of Mathematics and Informatics
Mose,Okenfold,2001,2016,9801628242719,Faculty of Economic Sciences
Reine,Moat,1997,2016,9612190387928,Faculty of Mathematics and Informatics
Dawn,Gotling,1997,2020,4874557754473,Faculty of Biology and Geoscience
Sada,Winnister,2001,2001,2139932709656,Faculty of Mathematics and Informatics
Tiff,Dilgarno,1996,2010,5675168056412,Faculty of History and Philosophy
Nyssa,Oganian,1995,2003,9727632435160,Faculty of Physics and Engineering
Allen,Beagin,1999,2022,9106217121168,Faculty of History and Philosophy
Verina,Jori,2001,2006,7190410663338,Faculty of Law
Rhetta,Corbyn,1997,2006,6505518467605,Faculty of Mathematics and Informatics
Joela,Ragg,1995,2001,5523547951484,Faculty of Mathematics and Informatics
Penni,Crotty,1999,2017,4151658827207,Faculty of Physics and Engineering
Lela,Biers,2000,2014,7662443014926,Faculty of Economic Sciences
Bert,Tollmache,2000,2015,7536427598121,Faculty of International Relations
Rennie,Figg,2000,2000,194005782991,Faculty of Law
Alessandro,Bowness,2001,2017,1913299633779,Faculty of Philology
Winn,Kightly,1999,2004,5085473822185,Faculty of Psychology
Isidro,Bellingham,1996,2014,9555299971533,Faculty of Philology
Saul,Coldbreath,2001,2006,3674966209400,Faculty of History and Philosophy
Delila,Perett,1998,2019,4794583499567,Faculty of Mathematics and Informatics
Wilburt,Alexandrescu,1998,2017,4631208233858,Faculty of Law
Allie I,Cymper I,2001,2020,9736947991872,Faculty of Mathematics and Informatics
Bellanca,Jennick,1995,2016,1322035303063,Faculty of International Relations
